,,phi_1,phi_2,phi_3,theta_1,theta_2,theta_3,theta_4,sigma,mu,init_y_1,init_y_2,init_y_3,logL,logL_birth,nlive
12,0.0,1.0193408,-0.0070699565,-0.259016,-0.7558829,-0.7290334,0.03407628,0.4562575,13.379182,-35.38376,38.904617,39.67874,17.542873,-6.6149345e+06,,988
13,0.0,-0.84701455,-0.5152024,-0.078765124,-0.88045806,-0.2365907,0.0010975418,0.21699624,6.6315756,-14.737993,74.19914,-115.27892,52.86696,-6.234419e+06,,987
14,0.0,-0.147021,-0.09035201,0.117437474,-0.51202214,0.23873644,0.012165099,-0.6758847,12.106695,-127.76452,-25.550842,61.86921,7.694818,-6.084646e+06,,986
15,0.0,-0.80338377,-0.1520612,0.31236073,-0.36626464,0.318325,-0.3343493,-0.6121959,11.203185,11.231753,-69.84972,-27.097136,48.1233,-4.545612e+06,,985
16,0.0,0.0068011335,-0.76879686,0.025040641,-0.46488404,0.08803548,-0.68053335,0.22972174,4.2500157,-33.512463,77.37794,61.518417,47.209183,-4.288805e+06,,984
17,0.0,-0.26836607,-0.81747264,-0.15128772,0.15019189,0.065103196,-0.6445662,-0.2603296,3.8700569,-54.674194,-3.475527,-66.86629,-34.38367,-4.184165e+06,,983
18,0.0,-1.269312,-1.1747147,-0.76804465,0.6798369,0.3049724,-0.45933104,0.062315404,1.7822142,-72.18481,11.80074,52.99373,-12.484309,-4.1575312e+06,,982
19,0.0,-0.34281212,-0.3678547,-0.27580404,-0.3096703,-0.6925308,0.36975357,-0.19068943,8.326525,-83.18118,80.26154,50.068222,21.035456,-3.66031e+06,,981
20,0.0,-0.94638675,-0.36147344,0.14800711,-0.6698654,-0.29838768,-0.29229984,0.50092906,8.404991,-90.6373,-23.430893,8.331,-56.882404,-2.7620052e+06,,980
21,0.0,-0.63117754,-0.8358609,0.030482097,0.03663758,-0.6615223,-0.26741415,0.76107687,3.7328334,-140.0556,52.476364,-44.79498,49.983074,-2.726683e+06,,979
22,0.0,-0.3962228,-0.09952015,-0.1607337,0.16706094,-0.518078,-0.603454,-0.01904332,11.970299,3.7406893,-16.219978,-51.249535,55.410683,-2.5989875e+06,,978
23,0.0,-0.42347953,-0.6547069,0.21474889,-0.020837476,-0.68834203,0.056274742,0.9444694,5.237324,-29.419174,-48.869617,-45.1043,35.916283,-2.5440518e+06,,977
24,0.0,-0.24789052,-0.9497135,-0.22060215,-0.3545997,-0.35621655,-0.14341092,0.1986422,2.9583673,-8.873255,21.221867,-16.0743,-83.25142,-2.341609e+06,,976
25,0.0,-1.0487001,-0.2338702,0.25351113,-0.37929544,-0.0535078,-0.8472809,0.38365534,10.059528,-27.314331,1.640051,21.566534,81.14743,-2.330307e+06,,975
26,0.0,0.34255943,-0.7192118,-0.19755086,-0.04512148,-0.1306458,-0.34427962,-0.26035607,4.662325,-44.767944,17.07812,26.167028,5.328082,-2.2825915e+06,,974
27,0.0,-0.48892838,-0.5016512,-0.07933565,-0.11928356,-0.7583276,0.025150662,0.02301569,6.7779884,-30.727676,76.43489,27.241468,-56.629753,-2.269594e+06,,973
28,0.0,-0.007359219,-0.5379989,0.11157234,-0.26717022,-0.1859363,0.22584076,-0.54402846,6.3896446,-91.53058,10.928406,-120.36694,-42.261368,-2.1620858e+06,,972
29,0.0,1.2795411,-1.3550411,0.5463124,-0.39540336,-0.024936965,-0.45233747,0.27373245,1.1325755,-63.625526,30.357569,14.777702,2.6597703,-2.1349175e+06,,971
30,0.0,-1.2163787,-0.7284745,0.023531301,0.556446,-0.382142,-0.87485045,-0.02003496,4.583353,-10.406809,2.3354664,99.74641,13.049361,-1.9702989e+06,,970
31,0.0,-1.1700186,-1.1472983,-0.8376318,-0.13698895,0.13867775,-0.7350903,0.4387127,1.902286,14.8751545,-35.83989,79.467026,37.22148,-1.9544635e+06,,969
32,0.0,-1.2567796,-0.20952706,0.43396083,-0.7333413,-0.36858502,0.526811,0.22917052,10.393236,-15.344984,-50.713966,60.971886,24.221165,-1.8179442e+06,,968
33,0.0,0.017933233,-0.2343198,-0.024025995,0.33460718,-0.68896383,-0.30839172,-0.26148602,10.053417,-35.60849,16.857233,-57.589245,-124.61542,-1.6609628e+06,,967
34,0.0,-0.8566082,0.12328135,0.31172052,0.14082198,-0.6427367,-0.7214222,0.32512376,15.485733,-87.903336,41.68763,49.88423,45.896305,-1.6140738e+06,,966
35,0.0,-0.6313401,-0.8741688,-0.6189562,-0.49863663,-0.30070254,0.17544876,0.32126942,3.4579296,-11.940563,-76.37724,-0.63712835,-8.286986,-1.4775548e+06,,965
36,0.0,-0.34475908,-0.7997558,-0.6116659,0.05622346,-1.2211951,-0.044232976,0.68651885,4.005533,-23.194342,-47.595535,-77.70129,-83.86471,-1.4350195e+06,,964
37,0.0,-1.3216987,-0.90276337,0.008518315,0.1067273,0.2600094,-0.3059316,-0.15979467,3.2622714,-49.291897,-45.60368,-103.40822,55.236416,-1.4301956e+06,,963
38,0.0,-1.0776943,-0.5228142,0.24415982,0.34839657,-0.35244057,-0.25852862,-0.49995208,6.5501833,-26.012228,29.033365,-46.43909,36.463833,-1.3729139e+06,,962
39,0.0,0.22208312,-0.15053628,-0.3434684,-0.39558947,-0.94044715,0.31770572,0.15638211,11.225096,-81.204056,-92.993645,-50.46943,5.634213,-1.3391896e+06,,961
40,0.0,-0.90478337,-0.59321827,-0.5959634,-0.48725328,-0.13713062,-0.39396757,0.6708947,5.826425,-68.13686,-20.885906,11.908122,-9.9496155,-1.322541e+06,,960
41,0.0,-1.1273252,-0.5911267,-0.34876335,-0.029740632,0.13673438,-0.5664601,-0.21909304,5.84717,-16.111938,-16.066717,58.39523,-12.250218,-1.2584431e+06,,959
42,0.0,-1.324666,-0.6941644,0.0011563483,-0.40202513,-0.27098566,0.64970964,0.0036329252,4.8803873,-98.448326,5.566482,-12.03299,-9.539197,-1.2447674e+06,,958
43,0.0,1.5521468,-1.235822,0.36690784,-0.29465884,0.054514464,-0.42211166,-0.071273856,1.5357525,-76.29463,-23.07601,-17.732708,31.814306,-1.099444e+06,,957
44,0.0,-0.30123934,-0.16020758,-0.65501297,-1.2342062,0.3826669,0.3529565,-0.43737593,11.086496,13.507836,-22.383076,29.905077,40.3963,-1.0509726e+06,,956
45,0.0,-0.5927278,-0.10246303,0.63250184,-1.0840596,-0.29576382,0.40067354,0.07260488,11.926675,-47.419014,2.827552,-61.86676,11.343971,-1.04616456e+06,,955
46,0.0,-0.20209518,-0.712689,-0.30088985,-0.15946084,-0.1528784,0.29839194,-0.6130318,4.7184763,-24.895046,-3.3856268,82.65988,-9.888847,-991480.4,,954
47,0.0,0.3683579,-0.44168183,0.37831095,-1.0654911,-0.10350891,0.36177674,-0.105879955,7.449071,-36.314697,43.446487,27.686611,-24.959248,-969748.56,,953
48,0.0,-0.15575388,-0.7416514,0.24010769,-0.58372724,-0.22447994,0.4432168,0.24743095,4.472557,-116.47967,14.211628,72.09958,-28.288832,-964891.25,,952
49,0.0,-0.31811303,-0.7061364,0.05605523,-0.8236753,-0.24781127,0.26413736,0.31994936,4.7753363,-7.04528,81.11339,-37.14927,82.59456,-954174.0,,951
50,0.0,-0.11044168,-0.64318573,-0.400801,0.18483143,0.029925425,-0.027685625,-0.7270593,5.344652,-52.884216,43.1154,52.18467,20.677975,-917694.75,,1000
51,0.0,-1.0491241,-0.7394276,-0.3057171,0.19994615,-1.4106431,-0.15065259,0.62159896,4.491128,18.824484,16.21915,-50.40797,48.749954,-898024.5,,999
52,0.0,-1.2528664,-0.88849896,-0.46265003,0.105766974,-0.63345367,0.2388654,0.18482825,3.3588645,-14.170259,66.07085,-42.730118,58.399017,-880003.9,,998
53,0.0,-0.5801082,-0.15779354,-0.37149528,-0.2037835,-0.30569473,-0.4498419,0.084886536,11.121012,-11.585565,-13.597664,-14.060598,-37.387722,-861272.1,,997
54,0.0,-0.61649483,-0.7499015,-0.49452242,0.5179817,-0.29393372,-0.49765635,-0.25118974,4.4041104,-13.989083,-42.46528,-90.92728,-28.74111,-842179.3,,996
55,0.0,1.7228256,-1.361437,0.3422398,-0.6410064,-0.6861343,0.5012984,0.3605099,1.1136279,23.107153,-15.908625,-41.366005,122.12826,-841752.1,,995
56,0.0,-0.25835356,-0.9141283,-0.14182541,-0.55709064,0.33777794,-0.20911515,0.0038222556,3.1867433,-14.050513,-3.2660768,-43.80413,28.562408,-832254.0,,994
57,0.0,-0.20865808,-0.32919776,0.1434312,-0.34659037,-0.11273872,0.049032066,-0.42581496,8.808186,-37.793106,6.958577,20.290834,61.533707,-758091.4,,993
58,0.0,0.12875353,-0.58004636,0.027072698,-0.79186994,-0.6433918,0.6208945,0.1641263,5.957839,-53.266506,12.348661,-26.016384,-47.75091,-728324.7,,992
59,0.0,0.22835945,-0.14771079,0.43684825,-1.1214284,-0.15734117,0.4733679,-0.11530697,11.26575,-94.79682,74.86473,92.68497,-1.1344788,-719769.25,,991
60,0.0,0.73382264,-0.99239874,0.53806657,-0.35433128,-0.84311897,0.04877269,0.4139099,2.7003672,-22.800875,-13.496315,3.0063975,54.80448,-676212.4,,990
61,0.0,-0.3158319,-0.7222795,-0.546856,-0.84193134,-0.21523431,0.41568327,0.102002345,4.636071,66.103195,-69.48309,97.41208,84.052574,-671269.56,,989
62,0.0,0.4086581,-0.9063412,0.09097502,-0.40098643,-0.39946604,0.4239238,-0.038149193,3.238358,-46.321766,41.238304,-1.6713613,2.0588267,-661395.56,,988
63,0.0,-0.13500749,-0.9269375,-0.23002131,-0.44198585,0.27602795,-0.05364293,0.46537957,3.103127,-57.386097,-23.243584,38.332577,61.16106,-652349.75,,987
64,0.0,-0.53532857,0.01849156,0.2182626,-0.32950717,-0.5932381,0.06073276,-0.056729235,13.781515,-19.746778,17.605253,12.215743,4.8814974,-641792.2,,986
65,0.0,-0.92332,0.10055145,0.08896171,-1.409583,0.61889154,0.39257658,-0.52793914,15.108787,-1.2572963,3.209445,-73.046196,-8.964185,-624419.25,,985
66,0.0,-0.3117926,-0.749206,0.10738651,-0.5809309,0.07229643,-0.36081833,0.6306244,4.409854,-40.76081,36.24556,5.9295263,-24.883343,-599297.1,,984
67,0.0,0.7219875,-0.7000174,-0.27857342,-0.05158288,-0.4669245,-0.3606678,0.41921264,4.8288403,-94.857925,-60.550243,20.51329,-33.549595,-591359.3,,983
68,0.0,-0.38651437,0.10290086,-0.20956711,-0.17688851,-0.92617226,-0.5555648,0.7532194,15.147567,-20.039446,-37.032475,25.956196,16.964146,-581080.25,,982
69,0.0,-0.5217753,-0.88777065,-0.37000588,0.12970607,-0.2005856,0.062210143,-0.11580314,3.36385,-22.02197,-10.61364,-47.463844,-47.719753,-577493.8,,981
70,0.0,-0.68595743,-0.82970476,-0.36917016,-0.38814044,-0.014289714,-0.49419633,0.613584,3.7783914,-0.5084061,5.9319034,30.194075,-21.845877,-569771.3,,980
71,0.0,-0.27779508,0.17030177,-0.11630876,-0.44071078,-0.24247997,0.16020112,-0.39388093,16.277794,-35.01025,21.76639,-47.5933,-40.006184,-569655.5,,979
72,0.0,0.2651158,-0.81021017,-0.11264094,-0.32202995,-0.15999052,0.7542247,-0.20267446,3.9252033,-117.341545,-2.9706178,4.8197117,19.608562,-556749.25,,978
73,0.0,-1.2625659,-0.6167577,0.13591723,-0.45264488,-0.13831219,-0.5329187,0.76037014,5.5961637,-21.148277,-64.91777,-15.78665,-29.383104,-546923.7,,977
74,0.0,0.77685946,-0.8127577,-0.056216866,0.20720282,0.115397684,-0.5690045,-0.38978782,3.9057972,-40.42808,13.729964,38.330044,-70.341995,-532533.3,,976
75,0.0,-1.087696,-0.43069744,-0.12130862,0.14516455,-0.6584408,-0.19654743,0.51935244,7.57606,-94.20048,-9.406008,3.0271432,-86.26294,-492801.47,,975
76,0.0,0.42564464,-0.5495959,0.2779468,-0.98576623,0.20462923,-0.11812921,0.028842513,6.2686787,-13.618875,-30.983591,-31.440983,67.95094,-489475.5,,974
77,0.0,0.1807315,-0.81427395,-0.08168784,0.015129285,-1.0742416,-0.18965541,0.36876646,3.89428,32.165733,-5.2031217,-31.563643,-48.068966,-484938.12,,973
78,0.0,-0.65293014,-0.098297425,0.05131303,-0.17377582,0.12070689,-0.16082834,-0.63235825,11.988447,-25.146677,151.32661,56.677086,70.51389,-475532.7,,972
79,0.0,-0.4257241,-0.58519065,-0.50434655,-0.21301901,-0.23267591,0.12395171,0.18414502,5.906296,-72.17338,-29.880917,-2.0117471,51.708157,-470986.88,,971
80,0.0,-0.11423147,-0.68118405,0.16772799,0.08059323,-0.057508845,0.13585466,-0.64977497,4.9959936,-49.365597,40.692394,-51.117455,14.340764,-465529.9,,970
81,0.0,-0.06084435,-0.7738456,-0.20472892,-0.008520107,-0.7396082,0.18627538,0.38299572,4.2094703,-47.2351,-44.10058,30.241764,-62.54674,-464521.2,,969
82,0.0,-0.72255874,-0.16738991,-0.22821489,-0.2774064,-0.589246,0.46998522,0.51759535,10.984125,-25.385078,-0.80001354,5.036626,-20.76681,-452875.8,,968
83,0.0,0.03571055,0.07384163,-0.059783068,-0.43595624,-0.6708421,0.3233995,-0.09385381,14.670923,-69.887825,-33.431183,-21.093933,-3.5397954,-445664.1,,967
84,0.0,-0.32162583,-0.25638542,0.557561,-0.49169365,-0.9817876,-0.08291034,0.73124397,9.755946,-41.63448,29.317879,-17.522575,77.06795,-425066.3,,966
85,0.0,-0.12252001,-0.21170016,-0.16493899,-0.14597863,-0.27958962,-0.04209611,-0.33140245,10.363216,125.763405,-31.923931,-56.12065,7.3630548,-417288.12,,965
86,0.0,0.35074404,-0.67244,-0.1351765,-0.5744107,-0.9093509,0.6328816,0.31489107,5.074872,6.430219,-63.141632,-26.797277,-6.4893603,-406378.12,,964
87,0.0,0.18116508,-0.24621442,-0.41139767,-0.3664595,-1.1199172,-0.037939787,0.6586309,9.892479,-1.4492946,38.582226,-73.4397,35.208626,-400380.47,,963
88,0.0,-0.06556574,-0.5009324,-0.46342131,-0.6493924,-0.827974,0.51180255,0.29751438,6.78581,-4.9203725,54.918663,58.980507,-26.157188,-397337.06,,962
89,0.0,0.060239144,-0.68640566,0.3752013,-0.011480744,-0.3628488,0.067348145,0.046899494,4.949275,-113.8199,4.6544604,-13.755356,-58.190685,-390432.2,,961
90,0.0,0.14243655,-0.7123877,0.044896778,-0.9240389,1.053395,-1.0639915,0.41557708,4.721082,122.73769,-16.338856,19.012598,-73.39408,-389206.47,,960
91,0.0,0.113220766,0.0029642952,-0.8281059,-0.42195177,0.042794514,-0.24888216,-0.12733717,13.536474,-62.7535,21.620935,-43.202255,108.95581,-384114.3,,959
92,0.0,-0.42846584,-0.5478868,-0.16440962,-0.15250568,-0.67640585,-0.2402006,0.18699634,6.286417,60.594112,-43.326763,2.3446052,66.16565,-381486.1,,958
93,0.0,0.06932982,-0.6061062,-0.4193223,-0.6188643,0.6302018,-0.7605036,0.33377966,3.8214004,-12.304168,3.3035765,0.21057472,69.19224,-380619.38,-954174.0,957
94,0.0,-0.8356023,-0.48911738,0.22907089,-0.28774095,-0.12685639,-0.030840337,0.2181549,6.9151306,-86.164764,3.7586684,-33.631058,43.727245,-372312.2,,956
95,0.0,-0.50350034,0.22729419,-0.20862691,0.3028316,-0.14196189,-0.79298824,-0.33027363,17.259289,10.623534,72.371666,-51.055515,20.242401,-365634.72,,955
96,0.0,-1.0215644,0.121493235,0.49554068,-0.7951889,0.56327677,-0.30846927,-0.26456317,15.455937,-71.10128,67.85539,-98.84283,-2.8336055,-360935.78,,954
97,0.0,-0.090863496,-0.570857,-0.61456,-0.00014600021,-0.21466155,0.13926747,0.0030391186,6.0506077,-81.62263,-47.347336,12.334536,-5.2909765,-352188.66,,953
98,0.0,0.16938563,-0.27429357,-0.15534875,-1.25697,0.49432778,0.20642519,0.04687099,9.518,-100.91634,-51.14808,-2.0802476,-2.2837691,-338530.34,,952
99,0.0,-1.175812,-0.973221,-0.596618,0.56843454,-0.6503523,-0.23193462,0.35736105,2.8141582,18.024546,-1.0089781,22.094126,-64.74175,-333582.28,,951
100,0.0,-0.6502126,-0.9942197,-0.0008853841,0.29603016,0.69213814,0.5249726,-0.015151401,2.6897411,-76.1928,-69.445206,28.198376,31.12634,-331428.7,,1000
101,0.0,0.33620456,-0.7390085,0.38249668,0.4024902,-0.22193418,-0.56617177,-0.1827264,4.494633,-50.26988,-3.7290108,-27.09094,126.932846,-316973.28,,999
102,0.0,0.15848424,-0.25308222,-0.7533671,-0.2792916,-0.72847193,-0.092887215,0.18127547,9.800178,64.358894,-53.352333,-2.8936758,64.43241,-314403.75,,998
103,0.0,0.26290676,-0.9229884,0.28601623,-0.070108,-0.8143768,0.31237623,0.51836914,3.1287365,-2.231483,15.94194,54.07326,-58.088993,-307532.72,,997
104,0.0,-0.8386127,-0.61206263,-0.2672549,-0.23457034,-0.74725163,0.5460978,0.22666705,5.6416206,92.003746,-3.188118,-33.33409,17.3242,-306888.12,,996
105,0.0,0.12970679,0.08998935,0.15258883,0.11115163,0.03183591,-0.59777015,-0.48632818,14.934977,-40.123913,22.74314,-5.278372,24.365429,-303656.88,,995
106,0.0,-0.45268527,-0.24182229,0.14893298,-0.25659454,-0.7248506,-0.16228609,0.24119642,9.951748,74.03092,15.557618,28.84938,30.874098,-298438.0,,994
107,0.0,-0.59648246,0.65784216,0.41576886,0.25882623,-0.7089394,-0.49214646,-0.05671821,25.323484,-1.6291759,42.60264,-55.8204,53.598595,-295693.66,,993
108,0.0,-0.23134433,-0.63864446,0.23876818,-0.3750928,-0.19614123,0.18905814,-0.1576641,5.3873434,-24.566147,-53.03573,130.14232,51.016243,-295245.4,,992
109,0.0,-0.35042948,-0.84555846,0.10972313,-0.0234458,-0.23104918,-0.04638573,-0.6820659,3.6618469,45.50714,-16.839657,45.43521,-4.825108,-289338.8,,991
110,0.0,0.0034360324,-0.7433584,0.021271896,0.2301137,0.44734713,-0.09538668,0.71625596,1.5774562,-21.820148,-36.013565,-15.75248,56.61723,-279367.88,-954174.0,990
111,0.0,0.206617,-0.8626768,-0.19433625,-0.748772,0.5838063,-0.07970008,0.2529152,3.5388508,-29.152754,-30.028978,51.95926,12.816113,-278468.97,,989
112,0.0,-0.6331169,-0.44977498,-0.2957441,-0.17318207,-0.78368336,0.051086187,0.48649883,7.356311,-29.664371,-3.7901409,46.24386,-63.39635,-277009.44,,988
113,0.0,-0.2568928,-0.5091538,-0.57762975,-0.20253007,-0.06552881,-0.053415317,0.8429904,6.6966877,-109.570656,17.844358,73.79514,-15.763582,-274507.62,,987
114,0.0,1.1461233,-0.9570384,0.17038247,-0.20277493,-0.6196984,0.11697693,0.19544178,2.9128704,-54.7009,-7.708282,-61.35658,-30.99795,-272230.25,,986
115,0.0,-0.365318,-0.35333616,0.3595452,-1.5584251,1.0348719,-0.07075762,-0.32811707,8.505651,64.243,-46.757732,78.83568,-0.9127723,-272026.16,,985
116,0.0,0.10498262,0.3334094,0.045979645,-1.6844008,0.7608074,0.5027792,-0.37381625,14.4853945,33.98522,22.401167,41.206882,-31.781275,-263504.8,-954174.0,984
117,0.0,-1.4300083,-0.42235133,0.19543634,-0.90565616,0.36544204,-0.6433905,0.612039,7.6733856,7.89021,-12.480102,15.907909,119.41532,-260463.84,,983
118,0.0,-0.5414812,-0.6148728,-0.48846456,-0.08320788,0.119439356,0.36322623,0.6484486,5.6143847,-68.74161,-7.5583024,24.105083,-47.966198,-256792.0,,982
119,0.0,-0.31880936,-0.7265659,0.2010932,-0.8942544,0.32760894,-0.011837207,0.1516456,4.5995517,9.96497,59.336056,-45.565784,31.654552,-256427.14,,981
120,0.0,-0.79443043,-0.8475084,0.024974152,0.25472018,0.6238026,0.42521974,0.46323234,3.6476874,-110.64822,45.801125,6.3382297,65.5795,-246089.9,,980
121,0.0,-0.87412643,-0.12842534,0.18420121,-0.15364268,0.104209706,-0.28514305,-0.20449261,9.190748,-55.938072,-61.858437,11.245035,66.71286,-242375.28,-954174.0,979
122,0.0,-0.30387458,-0.41764933,-0.15126412,-0.4060936,-0.015803413,0.2619368,-0.3584939,7.728533,-39.47736,93.21184,15.441804,-6.3489766,-240891.11,,978
123,0.0,-0.50575376,0.041834824,-0.42605326,0.44315693,0.12919793,-0.8398962,-0.42849618,14.153613,-57.064854,11.076177,-44.45049,-33.29828,-240091.61,,977
124,0.0,0.18415952,-0.29085416,-0.5880758,-0.26063538,-0.9824606,0.23598306,0.22186874,9.300755,-2.945369,-42.24309,33.66869,-65.27913,-232469.27,,976
125,0.0,-0.35241267,-0.7482247,-0.014676563,-0.25626388,-0.16008222,0.2947421,0.493088,4.417965,108.39672,17.510986,-94.053085,-16.311533,-224449.23,,975
126,0.0,-0.6435242,-0.016401162,-0.11143752,0.6678123,-0.5179781,-0.5039384,-0.23753642,13.233664,-84.266426,11.27066,-11.821397,33.182224,-221579.6,,974
127,0.0,-0.78296286,-0.14451854,0.6116343,0.06649103,-0.5183215,-0.7667263,0.2528441,11.3117695,59.399185,-10.902877,-18.60822,8.902405,-219287.03,,973
128,0.0,-0.328464,-0.85017234,-0.21615152,-0.17887254,0.008438466,-0.53760344,-0.12224015,3.6284056,47.855267,46.84709,-3.8941655,113.15901,-218540.62,,972
129,0.0,-0.78874224,-0.3647792,0.1887268,0.46375427,-0.27331516,-0.6203608,-0.34910148,8.364291,5.3549786,0.15783721,-9.448759,43.194736,-215165.12,,971
130,0.0,-0.14246872,-0.6873682,-0.13609754,0.19349371,-1.1603059,-0.19092827,0.33543858,4.940695,56.702213,53.96424,-62.04815,-40.802258,-207472.62,,970
131,0.0,-0.8823331,-0.65330744,-0.16238467,-0.3567385,0.40888745,-0.48553276,0.8517534,5.250285,-25.075272,34.481476,-61.36033,-51.79207,-202286.14,,969
132,0.0,0.29610646,-0.6816335,-0.4270502,-0.2620083,0.46381876,-0.022064487,-0.26212057,4.9919615,-52.230816,-66.94272,38.23575,125.975845,-200032.88,,968
133,0.0,-0.9728629,-0.226331,-0.037128035,-0.3541098,-0.20852871,-0.20014553,0.13849357,10.162273,109.077156,37.40973,97.52275,-19.644363,-197474.1,,967
134,0.0,-1.2348439,-0.5651441,-0.22386387,-0.7102318,0.17688887,-0.4520898,0.48877865,6.1087327,34.338326,-17.378443,-42.250805,7.5056477,-193184.03,,966
135,0.0,-0.44112846,0.01614616,0.75742877,-1.3688096,-0.025060853,0.7965317,-0.22013958,13.744374,-69.32753,-62.813473,20.96793,-4.885874,-192764.69,,965
136,0.0,-1.2463584,-0.589034,-0.046919964,-0.31532905,-0.094722085,0.2627405,0.46017796,5.8679714,35.893833,-11.12211,19.175266,41.31195,-175224.56,,964
137,0.0,-0.04106129,-0.5409634,-0.20912777,-0.46946102,0.046847288,-0.6609678,0.31354758,6.3585873,18.724718,-38.64219,61.549515,-35.99179,-172876.0,,963
138,0.0,-1.0623959,-0.77019745,0.07177199,-0.13306828,0.5694157,-0.16047099,0.85234565,4.238742,-48.797882,52.31046,-74.2497,49.95336,-171052.53,,962
139,0.0,-0.885915,-0.6834336,0.26227558,-0.20158286,-0.5678582,0.16475403,0.39591166,4.975831,55.757244,-50.875366,-7.038233,11.700953,-169126.62,,961
140,0.0,0.7721309,0.23834005,-0.4354023,-0.5335646,0.3041196,-0.16296695,-0.5245305,17.452145,-91.577156,-55.378384,-42.688007,-35.744083,-167703.39,,960
141,0.0,-0.28967822,-0.6144165,-0.25284573,-0.23077531,-0.6582303,0.17564146,0.19443558,5.6188016,8.352424,21.51335,-25.10447,-34.788586,-166982.84,,959
142,0.0,-0.11359105,-0.84688216,-0.2769185,-0.769647,1.0735934,-0.8731567,0.75744677,3.6522298,12.809675,-28.515574,-20.985329,21.968521,-166453.17,,958
143,0.0,0.07953083,-0.29022247,0.27274597,-0.53094435,0.2943413,-0.3936961,0.17845649,9.308992,-148.60658,64.12989,39.112232,96.63879,-166125.48,,957
144,0.0,0.15894137,-0.52889675,-0.009099601,0.0589907,0.057351507,0.22388935,-0.5521554,6.4855833,-85.92273,56.292892,-51.942913,-11.577537,-161781.56,,956
145,0.0,-0.8009475,-0.59429353,-0.13368155,-0.65496916,0.8954898,-0.60375136,0.8208875,5.8157797,-32.756504,-42.15011,-45.16028,55.043816,-156855.69,,955
146,0.0,-1.1789588,-0.6030474,0.07059983,-0.26453614,-0.662985,0.5791971,-0.0032135074,5.7295628,20.851032,0.4299865,-29.05214,58.80248,-156549.44,,954
147,0.0,-0.27365148,-0.3288326,-0.11597997,-0.6827359,0.42564464,-0.19366048,0.0035243954,8.812807,-50.30483,1.8405268,-37.020073,-22.515871,-155414.61,,953
148,0.0,-0.9709279,-0.21616244,0.5056097,-1.2969759,0.8968216,-0.097558014,-0.13457347,10.301714,-22.690983,44.08459,78.13427,-28.90392,-155067.02,,952
149,0.0,-0.495253,-0.47478446,-0.86515826,-0.3035216,-0.8242189,-0.054097433,0.56656444,7.073982,65.324554,-17.904472,-48.17093,-22.163982,-153570.4,,951
