,,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,theta_1,sigma,mu,init_y_1,init_y_2,init_y_3,init_y_4,init_y_5,init_y_6,init_y_7,init_y_8,init_y_9,logL,logL_birth,nlive
12,0.0,-0.18570276,-1.029026,-0.4366877,-0.16731931,-0.7190384,-0.20715892,-0.6018922,-0.16417086,-0.185954,-0.46210057,2.4924965,-14.31946,-31.299314,-40.993145,63.741875,-32.958977,-65.478165,52.026833,-16.048956,-76.76748,23.236252,-5.7679625e+06,,988
13,0.0,-0.6101751,-1.3588716,-0.7229503,-1.0380515,-0.65668887,-0.56117123,-0.8317853,-0.25306764,-0.36340448,-0.4029801,1.1211966,46.814938,-97.26365,-12.651926,16.713707,-2.3510444,3.4893134,33.11328,6.048738,-28.79255,-81.45907,-5.4072215e+06,,987
14,0.0,-0.2071011,-0.7187299,-0.4916575,-0.09513735,-0.4714787,-0.16447093,-0.43952855,0.14073168,-0.033811055,-0.6430899,4.666458,-45.93818,-124.89121,9.232951,-19.461958,97.528656,-74.88457,-6.0921683,-82.110855,42.38101,-59.03949,-4.6430735e+06,,986
15,0.0,-0.4598174,0.27999637,-0.44656187,-0.39687315,-0.46718383,-0.27344543,0.20488118,-0.010199075,-0.09583532,-0.9027959,18.186895,-64.22791,82.666435,3.0022964,-49.575882,-19.824883,65.06586,-69.14456,-88.58941,-5.46794,53.204323,-3.2601928e+06,,985
16,0.0,-1.3443207,-0.8474234,-0.74848384,-0.26793978,0.25634152,0.20644347,0.21163988,0.04438034,0.025459189,-0.4765112,3.6483045,-37.51389,71.49485,-27.49352,-6.7540145,-61.550648,-95.643196,-46.332855,0.054178603,41.388493,116.5416,-3.2575588e+06,,984
17,0.0,-0.3960328,-0.00517877,-0.09841835,-0.20814963,-0.20754483,-0.5597447,-0.25865456,0.2108839,-0.26445106,-0.9518741,13.408764,79.66684,5.002795,49.04962,11.779048,8.2546425,-86.83484,-45.95739,-77.846245,-2.9925604,79.06994,-2.8356892e+06,,983
18,0.0,-0.8621747,-0.9475837,-0.42978144,-0.12230354,0.23697196,0.09121683,0.23107575,-0.058231473,0.052477267,0.075831585,2.9716935,-113.46593,-24.288277,9.709395,31.412415,-104.896866,-22.040691,-16.048313,83.35944,66.12028,-8.846953,-2.6071172e+06,,982
19,0.0,0.1935843,-1.147462,0.89114743,-0.4113731,0.72451574,-0.37015885,-0.26311153,-0.13560112,-0.39466697,-0.59055173,1.9015504,-9.52864,-64.714226,15.140599,44.460846,-40.549316,18.601326,20.006966,-65.88249,-57.50154,-77.39834,-2.591701e+06,,981
20,0.0,0.20618227,0.07267906,-0.038448106,-0.37159538,0.022991773,-0.15803532,-0.032749947,-0.3259559,-0.33280978,-0.92135125,14.651991,-40.528915,-4.5049734,14.86502,-0.7908836,162.17632,1.8212554,-32.171387,-47.17644,-38.224495,-8.003833,-2.479064e+06,,980
21,0.0,-0.41849828,-0.6623716,-0.59211236,-0.46902806,-0.28944618,-0.38685936,0.07104693,0.19089197,0.27902314,-0.3188039,5.1666994,-102.690765,1.4093044,-50.51672,-19.380274,85.280785,-39.213806,-11.799841,-74.85957,16.105669,-27.703289,-2.4694608e+06,,979
22,0.0,0.4683958,-1.1290168,0.28091225,-0.95529807,0.26966718,-0.2675178,-0.1356666,-0.047102436,0.23756473,-0.18728833,1.9857429,-48.459633,-50.226974,52.015,-0.49643797,-26.26904,18.329042,44.04579,19.472473,-58.666397,2.9824946,-2.3292232e+06,,978
23,0.0,-0.0342135,-0.12100225,0.3149306,0.18724225,-0.343881,-0.3337387,-0.053408604,-0.1304932,0.123871624,-0.9505092,11.653641,-11.795372,-30.624714,-42.318718,-23.10814,-52.20468,26.964933,-18.400253,33.98076,9.2541065,57.480167,-2.1010578e+06,,977
24,0.0,-0.45477587,-0.56475824,0.12478985,-0.5256424,-0.5527974,0.094707996,-0.50683814,-0.30482212,-0.7500662,-0.51731175,6.112672,-39.559402,55.440266,20.865522,65.76196,-15.158079,-24.622835,-59.342896,34.176453,94.81463,-17.811377,-2.0847811e+06,,976
25,0.0,0.009144904,-0.1879203,-0.099120505,-0.5548865,-0.07761844,-0.13932438,0.16205733,-0.33651623,0.50858676,-0.9101437,10.694147,-23.854055,14.212747,-28.328922,81.69516,-38.238743,-42.144993,47.9758,99.88196,17.088732,3.6119115,-1.8435025e+06,,975
26,0.0,0.68400586,-0.6713574,0.0979789,-0.25850672,-0.01863156,-0.67232704,0.38262853,-0.20040898,0.036932405,-0.8260997,5.0846953,-18.55763,4.261605,-77.68011,43.93431,52.71336,-38.44047,-31.509048,-25.589869,-3.283984,-36.03253,-1.7213268e+06,,974
27,0.0,-0.30738133,-0.84912235,-0.04915984,-0.10702264,0.74763566,0.24345289,0.5110745,0.15911935,-0.18442915,-0.5785273,3.6359973,-145.32068,-49.44301,35.969654,11.927735,-31.119823,-75.81652,8.003871,17.58311,48.475613,37.626602,-1.6459826e+06,,973
28,0.0,-0.13731402,-0.2027468,0.42248282,0.2702183,-0.17068778,-0.27296573,-0.12593876,0.020110643,-0.16530113,-0.86915916,10.487188,-70.93217,-41.308178,53.30438,63.86292,21.563663,43.090336,-71.38387,-20.980518,27.58334,-23.694847,-1.6257018e+06,,972
29,0.0,-0.7390869,0.10359172,-0.22173047,-0.69270086,0.019785194,-0.2833657,-0.61776865,-0.19892289,0.096369736,-0.79636467,15.158978,-52.189144,-94.67434,19.980957,-53.305046,-82.2145,17.998466,71.498505,64.8996,-34.79947,-64.0824,-1.543917e+06,,971
30,0.0,-0.6084463,-0.5596149,-0.6491775,-0.10662854,0.2506648,0.213984,0.4476849,0.43593723,0.55937517,-0.9090008,6.165318,-9.961045,69.04509,-100.092545,-26.443338,71.21239,-45.44522,54.963528,-16.850727,-20.60882,41.247334,-1.5354585e+06,,970
31,0.0,0.90976727,-0.31662259,0.056915324,0.569812,-0.41399238,0.42484918,0.14290772,-0.5592871,-0.0773773,-0.9885141,8.968114,-13.982061,84.74502,-34.23501,6.5811524,17.262291,-44.308903,69.289,57.13094,18.23689,-67.937386,-1.4369805e+06,,969
32,0.0,0.07723811,-0.090257466,0.16975626,-0.40537778,0.18235774,-0.091244146,0.08060644,-0.17776117,-0.31085455,-0.83815473,12.108106,-81.148186,52.332233,87.752205,-41.464733,-57.352066,12.722972,114.77822,-20.943192,-107.39939,32.98617,-1.2556248e+06,,968
33,0.0,-0.8885627,-0.10619443,0.1283409,0.38455376,0.10548244,-0.29485175,-0.50712126,-0.20915301,0.031993564,-0.6596589,11.871472,-115.458916,33.186543,12.240405,-66.36126,34.201553,-15.763913,67.199646,12.46277,25.155434,5.6102457,-1.1122435e+06,,967
34,0.0,0.27237076,0.016166722,0.20417283,0.1654688,0.0001927346,-0.42818528,-0.048203062,-0.09008233,0.4887271,-0.9732486,13.7446995,-45.772842,-34.490677,-66.18988,13.927327,55.779503,-33.85603,-65.93274,-69.40994,-1.6873121,58.44893,-1.0930896e+06,,966
35,0.0,-0.6682366,-0.31691423,-0.31642377,-0.46055076,-0.17341262,-0.42297688,-0.6794593,-0.5744657,-0.08628687,-0.95103806,8.964386,47.60001,-11.088021,42.466984,-45.504707,80.7865,-3.4367833,67.86324,6.146065,57.320168,2.7057192,-1.0758891e+06,,965
36,0.0,-0.7593086,-0.20891236,-0.72553235,-0.87545884,-0.6649322,-0.25371537,-0.44109923,-0.5041941,-0.22280133,-0.61128324,10.401735,-16.713573,-30.471716,19.484934,-20.624144,-0.114262596,8.018627,-36.323006,17.16817,-6.0897446,7.7740045,-978591.4,,964
37,0.0,-0.48626924,-1.0618569,-0.507261,-0.76139396,-0.89928305,-0.5234753,-0.56643677,0.18513049,-0.10650772,-0.45627257,2.3164926,45.48553,23.568823,9.671549,-35.178932,-129.9595,-23.43748,57.35404,-2.2878969,53.743977,-64.58067,-972188.1,,963
38,0.0,-0.1423847,-0.19850673,0.22759064,-0.13687518,-0.005723819,-0.14418785,0.07437845,0.005617558,-0.34497097,-0.7989752,10.546164,-65.57382,-10.032729,24.943789,-44.06479,-27.578215,-52.225166,30.61283,62.581898,-80.2496,-8.666926,-946518.6,,962
39,0.0,-0.64613456,-0.7565616,-0.025258884,-0.24224746,-0.2356017,-0.7567325,-0.11927245,-0.02827309,0.15959193,-0.5275686,4.349373,-0.20526667,16.530722,-5.1611376,-23.852028,-9.2184,-100.11571,17.92347,24.620419,-32.24333,15.327559,-933382.9,,961
40,0.0,-0.5348843,-0.64430463,-0.9965555,-0.866517,-0.314072,-0.44061676,-0.16123694,-0.33750865,0.049886633,-0.62950057,5.334167,18.463058,-103.478455,-58.512753,-85.82994,-7.294545,-24.133558,-52.0564,-68.08997,-51.30877,-3.1441197,-899158.4,,960
41,0.0,-1.0392843,-1.124747,-1.0379938,-0.103421405,0.052910406,0.2061106,0.41103983,-0.19033897,-0.072358005,-0.11974647,2.005632,26.845211,-26.015768,32.703133,68.58921,-33.503933,-68.78226,93.95174,-52.141483,13.4900465,-5.215349,-873032.06,,959
42,0.0,0.18410233,-0.86154336,-0.40725428,-0.4614852,0.0052477377,-0.6920476,0.12172299,-0.1068473,-0.31219137,-0.23697785,3.5469036,-16.29984,-35.952343,2.4256907,35.84946,-15.040311,42.634373,101.08674,7.946763,-13.776292,63.00706,-868189.06,,958
43,0.0,-0.0062365965,-0.8495416,-0.4159321,-0.057894725,0.4243643,-0.17647891,0.60471404,0.11985562,-0.06290155,-0.71490395,3.632965,-4.6287346,7.52715,51.54226,20.707386,79.53388,-133.6878,51.892746,22.736858,34.832516,-19.57221,-832287.3,,957
44,0.0,-0.16338262,-0.36325526,-0.1825603,-0.6441225,-0.051792007,-0.6281511,-0.22685754,-0.29584906,0.12269695,-0.25824025,8.383041,-97.27454,-56.76689,38.30722,80.427376,-24.071402,2.8417985,-75.802895,28.587584,157.34366,-8.311238,-789128.0,,956
45,0.0,0.4915907,-0.62125367,0.24098206,0.009033738,0.16853692,-0.2307018,0.118681334,-0.5335103,0.20605426,-0.8133796,5.5528536,-21.364769,115.20477,-15.830941,45.67243,-56.41492,-29.112848,-12.392325,8.925768,27.969948,-8.720911,-701357.6,,955
46,0.0,-0.104378,-0.9470936,-1.0555602,-0.14741197,-0.55993587,-0.00084283313,0.24589172,-0.08743245,0.35380805,-0.38547716,2.9747665,14.286143,74.84805,-8.817543,34.770473,15.18157,32.7179,-41.926613,31.879732,-1.3695395,-60.247772,-688592.06,,954
47,0.0,-0.12667845,-0.6909844,-0.79169565,0.091491364,-0.63693666,-0.09575393,-0.10363138,-0.032660943,0.23026013,-0.23485236,4.908545,-39.02314,68.092026,-20.462358,-19.589243,52.48336,7.1635194,-28.672644,-26.688744,64.41014,-77.06386,-677405.3,,953
48,0.0,-0.41925174,-0.25276357,0.012748216,-0.31055656,0.3941901,-0.37884906,-0.032741573,0.19413005,0.35967663,-0.7506678,9.80445,-75.6834,33.654675,-32.69824,40.948433,15.915439,43.16242,-42.388718,-1.4421798,-64.48325,35.63355,-653896.1,,952
49,0.0,0.117526166,-0.22727393,-0.34524363,0.20542195,-0.24096815,0.024005307,0.46536967,-0.4519622,0.032183524,-0.8186949,10.149393,-45.33241,9.397318,72.82369,7.873465,-13.223802,17.193642,46.993656,6.2611394,21.508173,77.50753,-620164.9,,951
50,0.0,-0.8842024,-0.5239598,-0.47206098,-0.022508575,0.024345394,-0.16428511,-0.2224082,-0.2966012,-0.3680378,-0.44907042,6.5379868,-16.219631,-74.149414,-1.2584023,2.101609,35.033764,-35.869835,-20.204597,48.99886,-54.734863,59.442566,-610881.8,,1000
51,0.0,0.05247439,-0.28779656,0.23598678,0.27240926,0.039955106,-0.13255157,-0.20746572,-0.1074023,-0.56393933,-0.7497305,9.340661,-49.92304,28.349283,-60.650337,-21.51051,7.570052,0.87424165,-26.848448,-30.735184,0.80135083,-20.003735,-603574.0,,999
52,0.0,0.1294142,-0.375254,-0.27916914,-0.027999684,-0.09385453,-0.2717734,0.46538693,-0.08916317,0.009247703,-0.97840863,8.236059,51.19877,-106.55358,-168.36763,-2.8929126,-71.8461,36.40741,57.73856,52.64101,-86.856995,-44.637882,-582624.06,,998
53,0.0,-0.6389552,-0.43089285,-0.010305222,-0.377838,-0.12594022,-0.3373041,-0.48871428,-0.4319193,0.118756495,-0.27166423,7.57379,-53.76689,72.92473,28.54238,52.779896,-70.14551,4.217341,44.333614,62.296104,-69.74766,-40.967564,-577559.5,,997
54,0.0,-0.32645494,-0.5566417,-0.6426056,0.2228693,-0.30372098,-0.05696673,-0.07254043,-0.4568549,-0.07250922,0.079763144,6.195881,-90.09749,-81.23903,19.9143,-5.9677825,70.49673,-78.2024,51.27399,-3.7946358,46.8138,94.534775,-561598.75,,996
55,0.0,0.7047465,-0.66513175,0.6385526,-0.44078705,0.48638555,-0.6827235,0.0008037483,-0.03883032,-0.24513637,-0.6441505,5.14142,-52.519264,24.196283,-13.8536215,-76.606186,-43.716717,37.056797,-19.03601,81.54646,0.22239631,-50.228165,-559447.1,,995
56,0.0,-0.7270531,-0.67522436,-0.36685964,0.17998314,0.036318593,0.14100651,0.15638919,-0.007672629,-0.26129666,0.17481677,5.049668,-104.91916,-41.316063,34.557243,-128.87358,-40.883392,-59.86312,83.32374,-4.0562453,25.88495,-12.709154,-546404.4,,994
57,0.0,-0.56213015,-0.01543162,-0.29389405,-0.32104695,-0.45257393,-0.14759044,-0.38767424,-0.16925104,0.4184549,-0.89679587,13.24875,15.795876,-47.29176,-7.080531,-47.70049,-136.41525,-1.5747938,-56.619392,-48.365875,34.11318,3.595374,-537386.3,,993
58,0.0,-0.63111585,-0.82458967,-0.26435837,-0.049129903,-0.18489514,-0.31403226,-0.5624463,-0.56191593,0.02442838,-0.4996287,3.8165379,22.140902,-30.572283,68.89097,182.40857,86.10366,-78.6043,-102.6094,62.24091,60.654903,2.8540251,-521107.28,,992
59,0.0,0.29190904,-0.75240004,0.052189786,-1.015317,0.30312514,-0.37747666,0.0017448921,-0.48765683,0.17456585,0.096745856,4.3835216,-61.619427,-14.944326,26.158756,52.579338,30.465448,59.507065,24.715706,-1.7451366,-62.72264,-73.44299,-506691.62,,991
60,0.0,0.040951543,-0.47990033,0.2833086,-0.5760111,-0.08029326,-0.25760597,0.20379126,-0.23086701,0.16799363,-0.51687926,7.017035,-63.94943,-36.021027,10.495233,-22.175491,-11.175151,-3.0431068,76.39415,23.43827,104.32763,-62.657654,-498802.34,,990
61,0.0,-0.6962654,-0.51672286,-0.43247446,-0.5414779,-0.3327967,-0.44344327,-0.4823061,-0.026086902,-0.079480514,-0.28855515,6.6152687,-16.9736,26.27335,46.81725,115.064606,68.5436,-56.390045,-96.992546,9.140139,-16.981895,60.483562,-489901.06,,989
62,0.0,-0.06502607,-0.44124362,-0.41199517,-0.03753694,-0.09030088,-0.4666981,0.51281464,-0.120177105,0.16194418,-0.565555,7.277641,-52.724686,6.6709676,-33.998627,25.401453,-39.252983,25.579472,15.490669,-44.6649,54.04453,35.318092,-489375.22,-620164.9,988
63,0.0,-0.21854189,-0.77958465,-0.40233788,-0.81654054,0.48602244,0.12224827,0.45315906,0.03421314,0.5882308,-0.6238381,4.163702,0.1700737,70.60128,2.4000673,37.959087,14.435847,-113.45867,-34.889656,-88.22097,-95.48237,-3.4745533,-484929.06,,987
64,0.0,-0.5185456,-0.9096886,-0.6488423,-0.9690882,-0.40567866,-0.94220984,-0.50730956,-0.23052387,-0.12599127,-0.184411,3.2160978,26.318253,62.07644,25.306854,-7.4271984,42.524616,-24.603056,21.408459,-26.13903,-76.60927,69.46941,-471330.38,,986
65,0.0,-0.38903672,0.116944306,-0.35125872,0.11989987,-0.093884625,0.0044019613,-0.27988338,-0.5302688,-0.16693135,-0.7554961,15.380247,-43.85911,-0.18198894,6.9106064,-22.120806,-33.737442,30.554214,58.767136,-11.837022,-39.93865,-3.4241285,-466378.06,,985
66,0.0,-0.44435033,-0.45445082,-1.0281727,-0.4219037,-0.9011769,-0.76448125,-0.13470487,-0.30272564,-0.37090024,0.5328248,7.3030286,-69.23607,16.701843,53.17706,-58.36456,8.464316,44.825573,-0.896574,35.400692,-6.481617,29.355753,-457728.03,,984
67,0.0,-0.44804516,-0.41431627,-0.1467971,0.2395941,-0.27956295,-0.79282326,-0.30369475,-0.4038371,0.08775746,-0.5931421,7.767764,-7.865712,14.046322,-27.159071,-46.404766,16.08702,190.58679,55.992405,48.984688,-67.220604,-13.59565,-453203.3,,983
68,0.0,-0.29352,-0.23633997,-0.46433115,0.5578871,0.5679104,-0.1310756,0.22249952,-0.008348699,-0.40550333,-0.82439005,10.025988,-41.000008,-88.11729,13.254757,-25.438667,94.32701,54.29058,-15.090076,-55.16847,32.949707,36.264915,-450786.4,,982
69,0.0,-0.20248984,-0.9657435,0.06511878,-0.36202607,-0.68064976,-0.10611774,-0.50898546,0.17798059,-0.13957608,0.2746147,2.8594632,-10.487772,-35.46969,-12.999554,-36.819584,45.40993,20.706282,-37.459,-65.8108,15.622491,39.016483,-449648.75,,981
70,0.0,-0.21705489,-0.7732443,0.22155896,-0.21554291,-0.17083327,0.2771374,-0.24581142,0.13247679,-0.4816729,-0.61920446,4.2142854,11.667649,-152.61005,20.280712,-37.233913,45.588432,87.90632,-6.7293634,25.975483,-37.40982,11.646756,-441833.7,,980
71,0.0,0.069319606,-0.13863565,-0.31001198,-0.184999,-0.09795156,-0.17742477,0.09246234,-0.47051778,-0.19450317,-0.747627,11.396822,-25.098825,-22.924414,40.013725,57.309444,-138.39397,-71.48848,18.101353,28.024002,-12.597988,-90.52934,-441459.44,,979
72,0.0,-1.1260871,-1.0526495,-0.6003414,-0.087685205,0.05554194,0.20655124,0.057813596,0.016426388,0.16981642,0.06896209,2.3648837,18.771105,-23.872372,-21.01276,-31.040924,-30.382517,21.364908,42.20228,4.9636207,6.0974293,17.63083,-437215.28,,978
73,0.0,-1.1113051,-1.1947365,-0.09985503,0.24919493,0.72212476,0.27746186,0.55792737,0.25217828,0.14752053,0.46888542,1.6982987,12.090864,29.770935,-40.00415,-3.357609,59.34881,29.431334,-21.338943,-29.811821,-51.32334,-2.1717672,-436843.12,,977
74,0.0,-0.5900765,-0.001344601,-1.0449394,-1.1888802,-0.37891027,-0.49365973,-0.3794473,-0.31232396,-0.35394344,-0.19785449,13.468826,-64.22582,61.42591,39.196144,-13.034622,25.732962,63.051407,-13.814717,-74.01833,22.601582,-95.80747,-436440.4,,976
75,0.0,-0.36955795,-0.91588926,-0.65659183,-0.28068128,-0.5278351,0.11735773,0.034513906,0.3318355,0.38549986,0.36495546,3.1751528,-35.004925,24.840593,111.11032,22.747446,-22.311619,64.68688,53.755157,5.668796,-34.734493,-33.765907,-434628.03,,975
76,0.0,0.104552425,-0.7459051,-0.0134718,-0.03873435,0.05973884,-0.25453874,-0.31407616,-0.2046454,-0.5439248,0.39161453,4.4371767,-75.86367,-79.683945,12.648463,8.0447645,-53.624146,2.1867442,100.90426,10.681521,-63.655685,111.792244,-431600.47,,974
77,0.0,-0.7812301,-0.17733829,-0.36934647,-0.337523,-0.27670583,-0.098578274,-0.50676453,-0.11721577,0.36142465,-0.66179556,10.843121,-16.96735,-17.91712,0.077964164,40.639984,-60.761864,0.7677452,34.673386,5.926547,-74.45224,-3.7910552,-418375.84,,973
78,0.0,-0.5072207,-0.56435007,-0.3783496,-0.037615035,-0.39900792,-0.5380247,-0.18218713,-0.14160879,0.040170994,0.46995535,6.116839,-87.661644,93.14872,52.80893,46.585175,-32.617516,-21.242737,44.321556,-60.537994,2.1011453,-34.3828,-390035.97,,972
79,0.0,-0.13838425,-0.63462687,-0.6722709,-0.43375906,-0.8938303,-0.44115493,-0.20055747,-0.2819604,-0.119591035,-0.18452418,5.425294,-2.5603914,46.495064,-28.72673,4.8207927,1.5650101,-89.73746,-57.04397,101.277306,-5.662308,33.11568,-381262.75,,971
80,0.0,0.53127664,-0.97970563,0.122246586,0.7256143,-0.66517687,0.8555373,-0.17718011,0.00020953003,0.12457898,-0.58145416,1.7349266,-1.805782,13.412162,19.852474,-32.15267,55.296993,-98.46781,-27.115679,-54.172108,83.07727,-22.091936,-379193.22,-620164.9,970
81,0.0,-0.41760007,0.113217376,0.11077583,0.501276,-0.59433067,-0.6526507,-0.3018481,0.07896199,0.41305184,-0.83160466,15.31835,-34.84062,-99.583496,-27.656301,4.8460107,5.5397077,-62.525375,-39.732594,-20.286495,-124.162254,-75.74961,-370361.6,,969
82,0.0,-0.11342686,-0.65405506,-0.002870467,-1.1274226,-0.36088157,-0.3348878,-0.039388698,-0.30434433,-0.40080157,-0.015129882,5.243358,-16.919025,-20.799307,-77.85131,-15.577827,-42.494755,6.779505,-39.18498,-52.75709,13.637784,-5.6788936,-362239.6,,968
83,0.0,-0.58983713,-0.603128,-0.3095729,-0.5920747,-0.25811735,-0.4442413,0.33545217,0.3186731,0.15679805,-0.76285374,5.7287717,59.60839,126.116684,2.0037844,-52.196484,71.51014,9.349968,-39.6886,-30.774446,6.744856,39.746944,-339187.9,,967
84,0.0,-0.28186294,0.3574509,0.041775696,-0.27168325,-0.32195634,0.0064690807,0.0861021,-0.24765928,-0.4765021,-0.7959442,19.583145,-52.26076,52.680653,46.347897,65.05899,45.33379,57.97137,66.65924,-43.316235,-3.4639504,92.74582,-331612.38,,966
85,0.0,-0.9516999,-0.831485,-0.8918562,-0.25804308,0.04662938,0.21745114,0.11361074,-0.009927014,-0.1894049,0.61656326,3.7651787,-29.5933,22.838285,-39.55967,83.09103,-14.3481655,32.05308,23.990679,57.46496,32.89526,-148.52748,-316465.1,,965
86,0.0,-0.06326941,0.38115826,-0.24371366,-0.007207177,-0.5962493,-0.14037396,0.5080959,-0.16712777,-0.30600077,-0.9150097,20.017994,-7.9687867,11.529117,7.759971,57.454372,81.16349,42.513138,-33.258507,27.124973,58.857613,-12.191415,-314965.16,,964
87,0.0,-0.41835442,-0.6303924,-0.076988235,0.046477806,0.74145067,0.27066073,0.17581509,0.14038694,-0.19531213,-0.63575166,5.4654794,132.1485,11.630206,35.992558,-16.21437,-14.506151,-0.22554134,-7.0626936,-33.58392,-72.914276,39.862156,-310528.38,,963
88,0.0,-0.4038523,-0.3993604,0.30630645,0.060261924,-0.011951485,-0.48153368,-0.65767175,-0.42140904,0.08573063,-0.58550745,7.945209,96.74559,-9.019212,-30.648888,37.64788,-48.8335,-51.28244,59.970535,1.0023357,65.5357,-72.958145,-310527.8,,962
89,0.0,0.13817787,-0.40806434,0.4500683,-0.26343784,0.31327602,-0.30677736,0.3168572,-0.56097835,0.3769083,-0.7324764,7.8416605,-63.202904,21.782274,-30.06028,-27.030607,-2.2294643,-54.468525,11.074112,-48.625412,-36.84671,60.18078,-310521.53,,961
90,0.0,0.009243638,-0.8030142,0.3074332,-0.2111078,0.45056435,-0.30262372,-0.32798085,-0.18349767,-0.30900204,0.68041915,3.9803758,-91.71557,-95.60181,-37.70138,22.413658,-24.553823,46.32768,56.324047,8.069481,-50.47223,69.89789,-308181.7,,960
91,0.0,-0.010630359,-0.68017334,-0.042783625,-0.41046426,-0.043509003,-0.080218546,0.24791746,0.057315797,-0.33878395,-0.40619636,5.0050697,-14.7097225,19.563072,-42.678608,-66.9144,-53.901703,-75.34865,-52.376892,-15.607346,-12.12695,-18.830603,-307907.7,,959
92,0.0,0.21332379,-0.15633033,-0.15655623,0.51323783,-0.69065124,-0.28309745,0.03564475,-0.1557797,0.12927082,-0.6583104,11.141957,-75.51555,-52.975403,-43.429916,-34.19124,22.248266,30.818796,-7.954412,-26.8261,-66.46905,16.666681,-306417.88,,958
