,,alpha_ar_1,alpha_ar_2,alpha_ar_3,alpha_ar_4,alpha_ar_5,alpha_ma_1,alpha_ma_2,alpha_ma_3,alpha_ma_4,sigma,mu,init_y_1,init_y_2,init_y_3,init_y_4,init_y_5,logL,logL_birth,nlive
16,0.0,-0.49402928,-0.76410437,-0.55032706,-0.69688797,-0.21792102,0.77108693,0.34555483,0.3887949,-0.024413586,1.7365379,8.166643,42.95162,40.308525,-57.625134,57.85951,36.73944,-4.2004234e+08,,984
17,0.0,-0.33301044,0.61815286,0.017929792,0.5931928,-0.8516979,0.6926837,0.82529926,0.54927135,-0.56097674,0.13476755,18.520767,-11.985118,-58.68151,46.39779,8.306944,17.32082,-4.0939814e+08,,983
18,0.0,-0.85105586,-0.13586736,-0.540622,-0.34627438,-0.18859816,-0.56668067,0.9703729,0.7242236,0.96697474,5.2733335,-31.000954,-27.877771,-101.52382,26.854462,62.113495,-33.520313,-3.20064e+08,,982
19,0.0,0.05425358,-0.38707638,-0.96387076,-0.7179384,-0.04284501,-0.07612085,0.9592967,-0.91139555,0.43795347,10.998959,-102.48674,-43.084538,-90.59244,0.6147082,-39.485786,43.88018,-2.1521224e+08,,981
20,0.0,-0.87442017,-0.7771344,0.3572867,-0.3906982,-0.25248647,0.8176987,-0.9032121,0.51731396,0.76577044,4.589946,-21.624765,24.277647,-3.271407,-50.676094,-6.833438,-41.993984,-2.1409418e+08,,980
21,0.0,0.09433532,0.16359806,0.30583453,0.09167647,-0.65071607,0.1429863,0.94685507,0.90464187,-0.76595926,5.8496428,-57.50707,7.32847,16.624327,-8.347461,-3.1484907,92.71972,-1.7399446e+08,,979
22,0.0,-0.43681383,0.38943887,0.7399833,-0.86126614,-0.06450081,0.9976249,0.63008285,0.5453224,0.71589637,0.5951069,-1.1250489,56.093216,-76.32747,12.8326025,-47.436626,84.24544,-1.6923853e+08,,978
23,0.0,-0.44703674,-0.25269008,-0.6514158,-0.8434119,-0.25552034,0.2579584,0.94288087,-0.580534,-0.42746758,5.589446,-36.908833,-73.79503,-9.491517,-50.790127,7.184095,-1.9550025,-1.4489376e+08,,977
24,0.0,-0.3162775,0.8045323,0.23308444,-0.58167934,-0.85364366,0.2883668,-0.8195238,0.047631264,0.960768,0.91955876,-41.60148,23.741587,-34.29152,26.249426,-60.969074,25.803226,-1.1912138e+08,,976
25,0.0,-0.34584045,0.11210704,0.036910534,-0.9640541,0.6644223,0.7528217,0.92189837,0.025128841,-0.41308045,2.9056191,-59.489952,10.735943,-29.702398,-5.2287045,-71.3094,-18.031204,-1.00423544e+08,,975
26,0.0,-0.9166672,-0.38232422,-0.76997757,-0.88163114,0.4914148,0.84325504,0.54415345,-0.13112545,0.5577848,18.99658,-121.473625,-2.8531199,142.56813,111.982414,-34.13099,34.577908,-1.0024778e+08,,974
27,0.0,0.3380866,0.5329602,-0.46887708,-0.032212734,-0.08708167,-0.5060389,0.04298973,-0.9000237,-0.0074822903,0.04643805,39.07688,8.966743,-16.594069,14.882713,-94.16857,-13.02561,-9.811611e+07,,973
28,0.0,0.60797715,-0.35213518,-0.17868614,-0.30923653,-0.39412165,0.1368351,-0.2519226,0.4305215,0.87861204,1.0658969,-29.1288,13.860864,54.673088,4.06871,-47.629673,-37.21284,-9.773302e+07,,972
29,0.0,0.21262574,0.19842076,-0.618052,-0.78000736,-0.3868556,0.83252597,0.4201653,0.9702821,0.2637303,4.9498262,0.04652898,-26.733736,43.42178,-19.84483,44.819256,-27.899399,-9.087947e+07,,971
30,0.0,0.75760627,-0.59463,-0.7456949,0.5320778,0.5082557,-0.15797734,-0.66145825,-0.78597546,0.8152497,0.10736309,29.836264,5.7150674,17.482777,-9.20372,5.505765,-29.61162,-8.8356536e+07,,970
31,0.0,-0.9929466,0.19860601,-0.6935673,-0.49068856,0.4585781,0.98864794,0.11198568,0.79480934,-0.9274764,23.604763,5.6727514,73.49949,-2.6225984,74.32568,-45.864834,-45.703896,-8.653472e+07,,969
32,0.0,-0.8804467,-0.5324495,-0.914593,-0.95188713,0.7028289,0.6199992,-0.15119672,-0.5571966,-0.77591157,1.4671558,-6.707458,13.927591,42.881023,-31.529135,-43.83655,14.674786,-7.409973e+07,,968
33,0.0,-0.27294636,0.48289633,-0.29238296,-0.41569257,-0.26281214,0.4232614,0.11232829,0.5563977,0.77771616,3.1210077,-60.199883,15.302539,152.55252,15.615448,62.451275,9.793665,-7.3589176e+07,,967
34,0.0,0.61841226,-0.54542494,-0.36244202,-0.19292974,-0.732461,0.96552825,-0.42087722,-0.69498134,-0.43105745,0.5450417,47.978996,-14.4635515,4.9649715,41.904564,-55.486687,27.361372,-5.527423e+07,,966
35,0.0,0.7912266,-0.5463953,-0.77394223,0.11583686,-0.79625607,-0.12104416,0.82857466,0.3684039,0.5159619,2.059462,-65.19912,29.03096,35.945312,-58.98957,-41.491608,24.229864,-5.2719544e+07,,965
36,0.0,-0.49889278,-0.41674376,-0.9208791,-0.25993323,0.24503899,0.49082422,-0.035749197,-0.42394018,0.81208396,1.6447805,8.190066,4.012499,111.23685,-77.955475,-12.085041,34.319016,-4.8484816e+07,,964
37,0.0,-0.91384125,-0.9726918,0.52014685,-0.9835913,-0.21802306,0.5629084,0.24768233,0.1424334,0.20658255,0.5850714,34.306103,53.475296,56.373947,-25.8103,31.561592,-31.46112,-3.7455024e+07,,963
38,0.0,0.07123327,0.03440237,0.0698514,0.12830162,-0.623086,0.69032884,0.9262526,-0.7018497,0.61560607,6.5058618,-11.287695,-13.191359,-19.788895,21.338032,-55.0484,19.279333,-3.6961224e+07,,962
39,0.0,-0.49870276,-0.97089076,0.8664291,-0.401793,0.07335091,-0.03800273,0.7992494,-0.18659449,0.9534812,1.2408041,5.6784053,-44.66983,-4.3549337,-19.118073,5.1567445,98.99144,-3.6835544e+07,,961
40,0.0,-0.77069163,-0.70236874,0.37870693,0.9823139,0.8717978,0.93003726,0.19638515,-0.15082455,-0.060109854,0.67000544,25.103628,-53.050655,-86.84767,27.304855,19.551895,-35.671207,-3.6774412e+07,,960
41,0.0,-0.6102972,-0.13779354,-0.44718003,0.46072626,-0.15759945,-0.71219635,0.957129,0.096348524,-0.45583272,2.7243123,131.45319,14.734991,38.431168,23.129896,31.66191,59.99582,-3.6529864e+07,,959
42,0.0,0.9960518,-0.3859744,-0.55994034,-0.051630735,-0.45918775,0.4467814,-0.28643703,0.38363552,-0.8213661,0.23416835,-54.840446,-39.450474,-80.46256,7.466923,12.421856,-48.56433,-3.460139e+07,,958
43,0.0,-0.9308262,0.3995812,0.21726274,-0.3454802,-0.6770048,0.39948225,0.4390645,0.41195774,0.22915745,3.86384,-111.063156,14.867955,30.203793,-60.160477,-38.09111,41.801937,-3.3278256e+07,,957
44,0.0,0.20866728,-0.41076517,-0.8974519,0.017544031,-0.7851038,-0.8303695,-0.17355084,0.7307937,0.58883023,4.996379,-114.86473,-62.091763,-8.44118,-19.30962,-41.944347,67.14141,-2.7408282e+07,,956
45,0.0,-0.25921226,0.35112214,0.0143117905,0.17949152,-0.2795632,-0.11803293,-0.3995297,0.7152705,0.9487257,1.912861,-8.34328,-22.231451,43.962456,34.2455,-33.36608,-25.545479,-2.6976182e+07,,955
46,0.0,-0.20763278,-0.8227451,-0.29610896,-0.7439809,-0.18828487,0.92606354,0.5125756,-0.4623301,0.55893517,7.503696,59.878124,37.301163,-43.761166,14.648427,-11.123519,1.0801486,-2.6973818e+07,,954
47,0.0,0.40938187,-0.8318045,-0.7726438,0.71748304,-0.60056424,0.72917056,0.10695171,0.02859521,-0.21128058,0.374901,-8.47901,24.133533,-62.12722,-80.325966,-46.544525,-23.450422,-2.619706e+07,,953
48,0.0,-0.26438212,-0.4345069,0.5506482,-0.742959,-0.18189979,0.80328155,0.250489,-0.09006357,-0.5038817,0.7964997,-3.1707368,-5.815229,-10.594203,-27.121433,22.327753,-40.763897,-2.5495656e+07,,952
49,0.0,0.7813375,0.26402378,0.4706552,-0.7963693,-0.95482135,0.82580495,0.7422693,0.77475643,-0.7336476,1.7567456,-9.35265,49.248116,40.174927,27.136812,17.778673,-81.4908,-2.4687504e+07,,951
50,0.0,-0.3735397,-0.88585186,-0.8218131,-0.84688306,0.67594266,-0.69442296,0.35526586,0.9232061,-0.64167976,4.2752748,-47.44732,-41.519485,49.46426,53.09822,28.190285,23.37729,-2.444642e+07,,1000
51,0.0,-0.19996333,-0.81319,-0.6674721,-0.660897,0.0020861626,-0.13783503,-0.14812279,-0.7212398,0.96207285,19.497292,-81.698944,35.955765,-9.919717,129.5567,-128.39156,-10.7808,-2.1236074e+07,,999
52,0.0,-0.5913594,-0.40018845,-0.6749525,-0.43567467,-0.81330466,0.35572863,0.4986248,-0.5119908,0.8533249,15.894443,-6.501565,-84.77241,-20.751795,51.00135,22.131409,104.95814,-2.0577218e+07,,998
53,0.0,-0.6912322,0.7748425,-0.6555302,-0.49639583,-0.2365601,0.35890675,-0.6902392,0.89552665,-0.9060435,1.0971771,-23.02334,13.952008,49.278187,-51.78474,74.24333,3.5657156,-1.9999296e+07,,997
54,0.0,-0.34333324,0.25037694,0.02404809,0.011401415,-0.7909322,0.76491714,-0.7096536,0.32041883,0.71775436,6.5349574,-75.653114,25.597986,-15.306835,5.81304,-157.91226,-6.473089,-1.986459e+07,,996
55,0.0,-0.37857938,0.2046926,0.14586735,-0.83393955,-0.2284553,0.79639554,-0.21199775,0.855355,0.45302105,10.244095,-11.31536,-16.502346,-11.694496,-76.1939,8.457662,-4.9363317,-1.661594e+07,,995
56,0.0,-0.71357656,-0.9251237,0.49323845,-0.67016125,-0.1615324,-0.43391395,0.9523535,0.7345495,-0.09838104,28.542929,-66.40122,-68.85603,55.49804,-26.99781,-79.396454,0.7932221,-1.5706126e+07,,994
57,0.0,0.4115839,-0.8386345,-0.32964468,-0.49056602,0.08407903,0.5908847,-0.045738697,0.92093635,0.8248422,14.984053,-38.793217,15.3497505,-68.522415,39.186535,-4.263531,9.472906,-1.468048e+07,,993
58,0.0,-0.6280875,-0.4390273,-0.76279235,-0.26088715,0.64445686,0.54746795,-0.95314884,0.90874887,-0.3897512,3.1892216,90.23453,-83.73216,61.87564,42.22914,67.50351,-6.1768446,-1.4654696e+07,,992
59,0.0,0.34117126,-0.632143,-0.6567533,-0.73563075,-0.029835463,-0.40572977,0.37606215,0.24817848,0.93941927,2.3350306,27.96163,-46.07746,-106.24017,-66.01278,-65.61198,49.582264,-1.4318987e+07,,991
60,0.0,-0.7137449,0.24227834,0.9286845,0.9549613,-0.10547376,0.70393085,-0.34833694,-0.9037354,0.6256952,2.895706,18.29006,64.80446,-9.5637865,32.849045,34.04452,67.33574,-1.3508744e+07,,990
61,0.0,-0.3379705,-0.6079192,-0.6511531,0.67089224,-0.6988516,0.30898738,0.87992597,-0.4789474,-0.83910227,0.745987,41.30346,41.579906,-0.9670763,45.991013,-12.483091,-9.109627,-1.322552e+07,,989
62,0.0,-0.828033,0.6771867,0.0061511993,-0.7897804,-0.9909258,0.95430875,-0.052129745,-0.35492253,-0.91892076,5.3246126,-48.2318,-67.90528,40.66169,-22.875114,119.47986,105.16768,-1.2308927e+07,,988
63,0.0,-0.32360148,0.02758336,-0.25989056,-0.34984446,-0.47035146,0.56613135,0.9254153,0.44012332,-0.10356569,22.51649,-21.499693,85.1819,15.701374,15.060815,36.817867,-5.402217,-1.099161e+07,,987
64,0.0,0.30869007,-0.69159174,-0.96801996,-0.12628841,0.5918298,0.84061,0.9668751,0.6183562,-0.67794466,15.527162,4.770331,-2.6811435,69.672104,-30.030643,-31.76695,-19.737928,-1.0590764e+07,,986
65,0.0,0.65648127,0.022678852,-0.81219125,-0.70397687,0.44010735,0.09101462,-0.62719345,0.7242415,0.9712746,4.5869856,-30.808868,23.457016,-8.202735,-6.940059,-26.926517,-71.71509,-8.758839e+06,,985
66,0.0,0.072358385,0.55157936,-0.30292913,0.92630094,0.7820876,0.6474998,-0.8450857,-0.27275476,0.71027267,0.75169796,27.127983,-79.611664,-0.97762686,-66.861824,53.17011,10.655906,-8.585926e+06,-2.4687504e+07,984
67,0.0,-0.69957304,0.1046381,-0.5634613,-0.610775,0.14339161,-0.654109,0.827569,0.5489795,-0.8543947,3.5982847,-18.397104,17.721724,4.01809,58.391415,-19.246693,98.95233,-8.391464e+06,,983
68,0.0,0.36675262,0.3445084,-0.16248727,-0.46593332,0.47084713,-0.16070294,0.4734969,-0.8872812,-0.9540665,0.2774039,-18.317274,-14.2703085,69.43895,28.899124,48.009308,-52.07686,-7.8150055e+06,,982
69,0.0,-0.96098304,-0.23145366,-0.7489927,-0.83020926,-0.90838623,0.2883749,-0.3894012,-0.84998536,0.3374648,2.0472484,29.154196,115.61388,-25.9791,60.87891,58.318092,55.884464,-7.594368e+06,,981
70,0.0,0.51038074,-0.4518559,-0.67746735,0.0702734,-0.7005155,0.27522874,-0.6689408,0.9378674,0.007425785,0.782352,41.699524,-22.583319,53.69499,55.86458,-47.26265,3.4342897,-7.3769195e+06,,980
71,0.0,-0.3463068,-0.45848203,0.615988,0.5384064,0.2596631,0.4731605,0.9170363,0.5823097,0.29008627,4.6483836,-98.192604,11.4732895,34.354443,-21.959349,-4.530836,-16.727951,-6.609666e+06,,979
72,0.0,-0.6470823,0.91758895,0.31426167,0.39716125,-0.20512867,-0.9532821,0.6297729,0.8123276,-0.751636,0.38030148,61.240566,-74.120346,80.61298,-16.089058,-57.258106,38.08239,-6.5783385e+06,,978
73,0.0,-0.91780686,-0.4307325,0.24278188,-0.30709362,-0.7693112,0.9487989,0.08171153,-0.17090869,0.0765605,37.702797,-49.22015,43.997784,33.795315,-63.217384,54.39595,-22.142113,-6.3060425e+06,,977
74,0.0,-0.51625824,-0.69230676,0.8636737,0.205508,0.96285725,0.82547116,-0.44168496,-0.84417224,0.09653425,4.118947,-41.57272,-20.62227,-41.164883,35.912277,41.723965,30.016104,-6.27894e+06,,976
75,0.0,-0.6244683,0.095180035,-0.69225097,-0.6735537,-0.89458823,0.20698881,0.38333702,-0.66202116,0.5621972,6.501782,-17.335869,-60.589046,109.96355,-69.791885,-76.0765,6.977631,-6.1674735e+06,,975
76,0.0,-0.72533965,0.31809568,0.15931273,0.15584588,0.13004446,0.6051941,0.51961136,0.30164433,0.8931813,5.493403,-17.103281,-23.080633,10.469881,36.551804,86.18334,73.5079,-5.9858105e+06,,974
77,0.0,0.20242071,0.05106902,-0.29899335,-0.8136871,0.33862925,0.76618505,0.9882231,-0.947031,-0.52640986,11.483068,44.40567,42.32685,23.26174,18.669853,-45.020832,124.99038,-5.9056895e+06,,973
78,0.0,0.2591052,-0.973156,-0.91390944,-0.55505776,0.4147575,-0.73329854,0.39706397,0.055412054,0.8362093,3.405135,-5.8113327,-28.614336,-40.422226,10.322842,-6.683233,10.592669,-5.884176e+06,,972
79,0.0,-0.73827386,-0.9661577,0.05735421,0.3637209,0.23470616,0.62253857,0.9597535,-0.6866262,0.5915978,2.0253544,45.875996,24.932032,-18.30732,-68.775024,-10.363879,23.290276,-5.70511e+06,,971
80,0.0,0.447443,-0.86644864,-0.28735948,0.92374897,0.39486647,-0.070534706,0.13906813,0.33466053,-0.5785992,0.31273013,0.44397148,-32.958126,77.98736,-33.54222,-25.001427,-49.74124,-5.6631495e+06,,970
81,0.0,-0.505517,0.74833345,0.48888755,-0.08705211,-0.13614011,0.09582782,-0.011692762,0.9947481,-0.9012108,1.6507858,33.600597,-32.453392,-14.634149,-14.514473,15.807687,1.4075408,-5.572707e+06,,969
82,0.0,0.56092453,-0.263314,0.026046753,-0.33716774,-0.85303974,0.9133694,0.3334856,0.49397373,-0.2644894,16.035769,-61.329758,-35.36714,-47.492577,-6.1694374,-55.35794,-24.087828,-5.567922e+06,,968
83,0.0,-0.6090684,0.95063186,-0.14814043,0.55389714,0.7577479,0.88051844,-0.97370195,0.2451837,-0.64877033,5.4429507,65.51913,25.507057,66.94885,-22.092764,-38.074036,17.24507,-5.527799e+06,,967
84,0.0,-0.9310148,0.21472263,-0.71323013,-0.30131435,-0.8357911,-0.9128969,0.00844717,0.93995404,-0.031052113,8.8104,6.803314,-68.76544,-61.687584,0.8932193,15.065427,-7.7047596,-5.3805805e+06,,966
85,0.0,0.5104797,-0.9248178,-0.16582584,-0.42731476,0.6817012,-0.7869439,0.44495392,0.9087186,0.9434459,3.6717558,-25.90963,-44.787483,-45.91517,101.247696,12.378484,-69.68751,-5.2769245e+06,,965
86,0.0,-0.24872231,0.35107327,-0.7192097,-0.9445543,-0.7624905,-0.1886251,-0.8195424,0.9381864,-0.8711467,2.3717115,34.10151,-16.294075,-71.04412,-40.668377,59.248287,-50.665886,-5.2580025e+06,,964
87,0.0,-0.47273064,-0.79527307,-0.662832,-0.55496526,0.41296077,-0.51035833,-0.9293823,0.7084844,-0.7315836,1.0608068,22.225027,-54.691036,-23.22138,-12.709771,-15.171907,-66.93452,-5.0736405e+06,,963
88,0.0,-0.60264754,-0.43469048,-0.6374252,-0.98438835,0.33812094,0.85433316,0.44668126,-0.22603154,-0.47280955,18.768515,-63.928753,-74.42236,-6.139043,-27.807184,-57.923977,56.044125,-4.99332e+06,,962
89,0.0,0.22188592,-0.949528,-0.5170536,-0.015349627,-0.77482915,0.2267251,0.36555982,0.31957173,-0.71324825,1.8877914,85.330795,-20.525602,-6.3530884,43.00938,-55.503506,-55.361027,-4.890518e+06,,961
90,0.0,0.79897904,0.3067305,-0.13793421,0.7804847,-0.70124984,0.42352438,0.8152373,-0.7414088,0.90522265,1.5398376,-58.760445,76.721695,31.017569,-47.876614,49.864502,54.942436,-4.762185e+06,,960
91,0.0,-0.2841735,-0.74480057,0.670763,-0.29500318,-0.40830588,0.26737714,-0.5378995,-0.61519647,-0.45682454,0.44374958,-83.49032,-73.633446,12.552118,82.79412,-26.984226,10.08154,-4.759854e+06,,959
92,0.0,0.09901476,-0.8761332,-0.17736673,0.053581238,0.15204215,0.3062501,0.64762306,0.767457,0.9433019,19.573467,-58.76128,-55.394245,15.722,19.426352,-18.718618,-36.227642,-4.73487e+06,,958
93,0.0,-0.27489567,-0.00023078918,-0.22617745,0.06937981,0.58823156,0.9976437,-0.29366612,-0.23639584,0.0063664913,15.7329445,12.697773,-98.11155,4.804207,-0.68888736,62.41449,55.49486,-4.638495e+06,,957
94,0.0,0.25264072,-0.9122286,0.23801732,-0.5838468,0.41505694,-0.09756684,-0.6087444,-0.6433451,0.98684883,5.2063513,-9.437383,49.08137,19.934504,-23.085552,60.33285,93.36095,-4.596238e+06,,956
95,0.0,-0.72741413,0.91385174,-0.476326,-0.16208172,-0.84520006,-0.8841412,0.99822664,-0.96072626,-0.2593994,26.74821,-39.56437,46.191364,-44.70244,-18.749935,-1.9668298,32.241848,-4.2590105e+06,,955
96,0.0,0.004481077,-0.5034909,0.41575384,-0.90546155,-0.41161203,-0.93402576,0.18318772,0.74372697,0.4260533,10.706331,-159.3867,3.6394596,41.40541,17.488892,-49.602074,32.12796,-4.157978e+06,,954
97,0.0,0.24207711,-0.92926764,0.776387,-0.4202931,-0.3857646,0.43477535,0.51816297,0.059936523,0.9368639,9.339939,138.3427,-77.9303,69.96091,8.141873,22.526512,36.943306,-4.1311335e+06,,953
98,0.0,-0.9367399,-0.5048039,0.7291291,-0.29917622,-0.9321804,-0.6889703,-0.7075288,0.8169174,-0.19133615,2.9728327,-122.47266,-1.3527848,-14.895121,-29.577637,-28.453068,-32.081264,-3.963542e+06,,952
99,0.0,0.35592914,-0.47229934,0.31910133,-0.7559531,-0.979512,0.14497972,0.16599154,0.79096055,0.2859223,1.9935954,27.764093,-11.731167,-58.694122,40.572105,124.675735,-33.845547,-3.556525e+06,,951
100,0.0,0.26885653,0.97007346,0.059103727,-0.48871374,0.7136328,-0.48694348,-0.00049996376,-0.8370502,0.36862636,0.3606214,-55.345757,-64.470085,-75.59164,31.92035,14.161653,76.27652,-3.5383668e+06,,1000
101,0.0,-0.44918156,-0.7427387,0.4014058,-0.5049648,-0.8311684,-0.13995218,0.70671535,0.16304111,0.1572907,7.9412937,-31.599375,17.69075,-45.167492,0.23079304,-74.90938,-8.515344,-3.499957e+06,,999
102,0.0,-0.9140296,-0.24949884,0.86519957,-0.28631854,0.7074187,-0.42340732,-0.85682106,0.7358608,-0.9256091,1.229176,13.190285,5.5579576,46.829395,-5.1495113,20.275455,11.020328,-3.424204e+06,,998
103,0.0,-0.09358144,-0.29259324,-0.09462571,0.062538385,-0.3734362,0.98380184,0.33418393,-0.5966053,-0.99239016,17.39109,46.60642,43.582706,62.860023,5.489892,-29.031038,-16.04817,-3.3436852e+06,,997
104,0.0,-0.1569202,0.42622852,-0.15822864,0.21168065,0.20333123,0.35450387,-0.83308315,0.501544,-0.4092083,0.53772414,74.73916,53.515633,-92.49994,124.68107,-1.7363611,12.594324,-3.276053e+06,,996
105,0.0,-0.07666397,-0.4628749,-0.119776964,0.25601125,-0.66335964,-0.20307946,0.011122227,-0.3982892,0.17666817,0.38758188,13.579316,59.09817,-3.3532965,83.381165,-8.565873,5.0516734,-3.206727e+06,,995
106,0.0,0.010332823,-0.8662715,0.77251124,-0.16164708,-0.43464947,0.87931156,-0.97072315,0.62194157,0.699141,17.450394,-62.693142,7.8499885,-12.099903,207.89189,0.543272,-16.396692,-3.0657488e+06,,994
107,0.0,0.85723186,-0.85983133,-0.54154754,0.017795563,-0.4629953,0.97037506,0.25629926,0.011309624,-0.6691401,6.0796223,-14.010928,25.585451,70.76031,37.14174,29.347303,-19.105568,-3.0299322e+06,,993
108,0.0,-0.9867995,-0.95782804,-0.9225733,-0.4264269,-0.8854513,0.2655685,-0.41818047,-0.555352,0.5050411,8.363385,2.7766144,-29.369732,18.656336,-49.056694,-43.452255,-52.767647,-2.8247855e+06,,992
109,0.0,-0.33172774,0.7846434,-0.7701912,-0.13447642,0.70806456,-0.2584269,-0.0053138733,-0.77955985,-0.77890277,0.6250707,-32.769154,-32.92297,-15.210445,36.29483,10.653458,-79.85261,-2.7844128e+06,,991
110,0.0,0.52320004,-0.36118102,-0.22972345,-0.8785851,-0.027885675,-0.31431246,-0.73578024,0.22919297,0.8956752,1.4399879,17.960485,-45.354904,-6.8013163,-8.598956,91.973145,-2.3502066,-2.774636e+06,,990
111,0.0,-0.54718614,-0.8418288,0.12052226,-0.3558998,-0.30938435,0.9922085,0.24459147,0.15068293,0.5031345,32.66862,25.427723,-45.692825,-65.021225,-76.44098,-27.182844,29.331898,-2.724055e+06,,989
112,0.0,-0.9881947,-0.85530305,0.09892154,0.17282343,0.37489057,-0.9711058,0.9226947,-0.056863785,-0.64136434,2.1598399,79.71755,-50.71514,33.888496,-21.93717,10.874626,56.276142,-2.7202648e+06,,988
113,0.0,0.16356659,-0.31632972,0.8594947,0.6546235,0.0674386,0.07205081,-0.5804057,0.298656,-0.44936323,0.49852782,-48.25572,22.534086,38.90751,30.042107,84.66923,-42.051693,-2.7038025e+06,,987
114,0.0,-0.59361625,0.6786194,0.048733234,-0.14972568,0.49873018,0.5210538,-0.8450608,0.11142635,0.96109724,6.127605,-74.42811,0.57176566,-13.697378,33.991302,59.498363,-22.476574,-2.6136912e+06,,986
